"search-number","evaluation","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","fitness","num-replicates","best-fitness-so-far"
"1","2","1000","1","""HK""","0.28","false","""normal""","1","""constant""","0.1","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","15","0.10000000000000009","0.30000000000000004","""normal""","-0.9","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.4","10","-0.7","true","true","0.440901664114014","2","0.440901664114014"
"1","4","1000","1","""HK""","0.25","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","25","1","0.2","""normal""","0","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.9","7","0.6000000000000001","true","true","0.2705737681736348","2","0.2705737681736348"
"1","6","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","1","0.6000000000000001","""normal""","0.8","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","1","0.8","6","0.40000000000000013","true","true","0.4106211996717618","2","0.2705737681736348"
"1","8","1000","1","""HK""","0.12","false","""normal""","1","""constant""","0","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","50","-0.5","0.6000000000000001","""normal""","0.40000000000000013","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.2","0.7000000000000001","5","-0.3999999999999999","true","true","0.6345847085772671","2","0.2705737681736348"
"1","10","1000","1","""HK""","0.060000000000000005","false","""normal""","1","""constant""","0.2","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","40","0.5","0.1","""normal""","0.20000000000000018","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.4","0.9","0","-0.09999999999999998","true","true","0.18909848248664232","2","0.18909848248664232"
"1","12","1000","1","""HK""","0.2","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","15","0.9000000000000001","0.6000000000000001","""normal""","-1","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.30000000000000004","3","0.20000000000000018","true","true","0.2281197941949176","2","0.18909848248664232"
"1","14","1000","1","""HK""","0.21000000000000002","false","""normal""","1","""constant""","0","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","15","-0.29999999999999993","0","""normal""","-1","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.9","0.2","4","-0.29999999999999993","true","true","0.6510135032730631","2","0.18909848248664232"
"1","16","1000","1","""HK""","0.09999999999999999","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","35","1","0.9","""normal""","0.40000000000000013","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0.30000000000000004","5","-0.3999999999999999","true","true","0.3908419951064689","2","0.18909848248664232"
"1","18","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.4","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","5","0.10000000000000009","0.6000000000000001","""normal""","0.8","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0.5","2","-0.29999999999999993","true","true","0.42925482634557677","2","0.18909848248664232"
"1","20","1000","1","""HK""","0.06999999999999999","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","45","-0.09999999999999998","0","""normal""","-0.3999999999999999","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.9","0.4","5","-0.29999999999999993","true","true","0.28335598367005493","2","0.18909848248664232"
"1","22","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.1","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","50","0","0.9","""normal""","0.5","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0.7000000000000001","2","-0.19999999999999996","true","true","0.4453177837671446","2","0.18909848248664232"
"1","24","1000","1","""HK""","0.04","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0.10000000000000009","0.30000000000000004","""normal""","-1","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0.8","9","-0.3999999999999999","true","true","0.5342586200407033","2","0.18909848248664232"
"1","26","1000","1","""HK""","0.12","false","""normal""","1","""constant""","0.5","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","30","0.10000000000000009","0.9","""normal""","-0.3999999999999999","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0","9","0.9000000000000001","true","true","0.39068103559878625","2","0.18909848248664232"
"1","28","1000","1","""HK""","0.14","false","""normal""","1","""constant""","0.4","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","45","0.8","0.1","""normal""","0.20000000000000018","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0.8","0","0.30000000000000004","true","true","0.35524742601186876","2","0.18909848248664232"
"1","30","1000","1","""HK""","0.16","false","""normal""","1","""constant""","0.2","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","40","-0.5","0","""normal""","-0.3999999999999999","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.9","2","0.20000000000000018","true","true","0.38301826917312276","2","0.18909848248664232"
"1","32","1000","1","""HK""","0.28","false","""normal""","1","""constant""","0.5","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","35","-1","0.9","""normal""","-0.29999999999999993","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","1","1","4","-0.9","true","true","0.3679339085334219","2","0.18909848248664232"
"1","34","1000","1","""HK""","0.01","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","35","0.6000000000000001","0","""normal""","-0.29999999999999993","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.2","1","9","0.8","true","true","0.1132416555271043","2","0.1132416555271043"
