"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identityPaper_reducedModel.nlogo"
"Step4.2_IndID-hetPar_RS36-40"
"12/31/2022 04:24:18:289 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","Number_Of_Agents","HK_opinion_distribution?","Use_Present_Opinion?","Boundary_Distribution","Boundary_Mean","Boundary_STD","Conformity_Distribution","Conformity_Mean","Conformity_STD","Use_Identity?","Identity_Type","SPIRO_Distribution","SPIRO_Mean","SPIRO_STD","Identity_Levels","Minimum_SPIRO","Maximum_SPIRO","Proportion_Of_High_Covert_SPIRO","centroid_color?","N_centroids","killing_centroids?","avoid_seed_control?","updating","set-seed?","polar_repeats","Normalize_Distances?","Y-opinion","X-opinion","Number_Of_Opinion_Dimensions","model","max-ticks","Centroids_change","polarisation-each-n-steps","show_dice_rolls?","ESBG_furthest_out","[step]","ticks","precision diversity 3","precision extremness 3","precision ESBG_polarisation 3","precision mean [own-boundary] of turtles 3","precision standard-deviation [own-boundary] of turtles 3","precision mean [own-conformity] of turtles 3","precision standard-deviation [own-conformity] of turtles 3","SPIRO_0.15","SPIRO_0.25","SPIRO_0.35","SPIRO_0.45","SPIRO_0.55","SPIRO_0.65","SPIRO_0.75","SPIRO_0.85"
"7","37","101","false","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.551","0.497","0.394","0.1","0","0.806","0.102","101","0","0","0","0","0","0","0"
"4","39","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.543","0.503","0.424","0.1","0","0.798","0.092","101","0","0","0","0","0","0","0"
"2","37","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.545","0.505","0.421","0.1","0","0.792","0.1","101","0","0","0","0","0","0","0"
"8","38","101","false","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.528","0.483","0.37","0.1","0","0.797","0.087","101","0","0","0","0","0","0","0"
"6","36","101","false","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.543","0.5","0.428","0.1","0","0.8","0.096","101","0","0","0","0","0","0","0"
"3","38","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.542","0.503","0.421","0.1","0","0.812","0.096","101","0","0","0","0","0","0","0"
"5","40","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.54","0.501","0.419","0.1","0","0.803","0.096","101","0","0","0","0","0","0","0"
"1","36","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.541","0.502","0.421","0.1","0","0.81","0.096","101","0","0","0","0","0","0","0"
"11","36","101","true","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.497","0.495","0.495","0.15","0","0.81","0.096","101","0","0","0","0","0","0","0"
"12","37","101","true","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.504","0.501","0.501","0.15","0","0.792","0.1","101","0","0","0","0","0","0","0"
"10","40","101","false","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.57","0.52","0.431","0.1","0","0.804","0.09","101","0","0","0","0","0","0","0"
"13","38","101","true","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.502","0.5","0.5","0.15","0","0.812","0.096","101","0","0","0","0","0","0","0"
"9","39","101","false","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.592","0.538","0.43","0.1","0","0.79","0.098","101","0","0","0","0","0","0","0"
"15","40","101","true","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.499","0.497","0.497","0.15","0","0.803","0.096","101","0","0","0","0","0","0","0"
"14","39","101","true","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.503","0.5","0.5","0.15","0","0.798","0.092","101","0","0","0","0","0","0","0"
"16","36","101","false","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.511","0.508","0.509","0.15","0","0.8","0.096","101","0","0","0","0","0","0","0"
"17","37","101","false","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.51","0.504","0.397","0.15","0","0.806","0.102","101","0","0","0","0","0","0","0"
"22","37","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.5","0.498","0.498","0.2","0","0.792","0.1","101","0","0","0","0","0","0","0"
"19","39","101","false","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.561","0.536","0.473","0.15","0","0.79","0.098","101","0","0","0","0","0","0","0"
"18","38","101","false","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.496","0.484","0.365","0.15","0","0.797","0.087","101","0","0","0","0","0","0","0"
"20","40","101","false","false","normal","0.15","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.52","0.516","0.517","0.15","0","0.804","0.09","101","0","0","0","0","0","0","0"
"21","36","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.494","0.491","0.491","0.2","0","0.81","0.096","101","0","0","0","0","0","0","0"
"23","38","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.5","0.498","0.498","0.2","0","0.812","0.096","101","0","0","0","0","0","0","0"
"24","39","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.5","0.497","0.497","0.2","0","0.798","0.092","101","0","0","0","0","0","0","0"
"26","36","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.5","0.498","0.498","0.2","0","0.8","0.096","101","0","0","0","0","0","0","0"
"27","37","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.506","0.5","0.395","0.2","0","0.806","0.102","101","0","0","0","0","0","0","0"
"28","38","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.492","0.48","0.361","0.2","0","0.797","0.087","101","0","0","0","0","0","0","0"
"31","36","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.491","0.488","0.488","0.25","0","0.81","0.096","101","0","0","0","0","0","0","0"
"25","40","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.496","0.493","0.494","0.2","0","0.803","0.096","101","0","0","0","0","0","0","0"
"29","39","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.529","0.528","0.516","0.2","0","0.79","0.098","101","0","0","0","0","0","0","0"
"30","40","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.511","0.507","0.508","0.2","0","0.804","0.09","101","0","0","0","0","0","0","0"
"32","37","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.497","0.495","0.495","0.25","0","0.792","0.1","101","0","0","0","0","0","0","0"
"33","38","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.497","0.495","0.495","0.25","0","0.812","0.096","101","0","0","0","0","0","0","0"
"34","39","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.498","0.495","0.495","0.25","0","0.798","0.092","101","0","0","0","0","0","0","0"
"35","40","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.493","0.49","0.491","0.25","0","0.803","0.096","101","0","0","0","0","0","0","0"
"37","37","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.502","0.497","0.396","0.25","0","0.806","0.102","101","0","0","0","0","0","0","0"
"39","39","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.522","0.521","0.506","0.25","0","0.79","0.098","101","0","0","0","0","0","0","0"
"36","36","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.503","0.5","0.5","0.25","0","0.8","0.096","101","0","0","0","0","0","0","0"
"38","38","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.491","0.48","0.36","0.25","0","0.797","0.087","101","0","0","0","0","0","0","0"
"40","40","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.505","0.501","0.503","0.25","0","0.804","0.09","101","0","0","0","0","0","0","0"
"42","37","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.494","0.491","0.491","0.3","0","0.792","0.1","101","0","0","0","0","0","0","0"
"43","38","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.493","0.49","0.491","0.3","0","0.812","0.096","101","0","0","0","0","0","0","0"
"41","36","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.487","0.485","0.485","0.3","0","0.81","0.096","101","0","0","0","0","0","0","0"
"44","39","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.492","0.49","0.49","0.3","0","0.798","0.092","101","0","0","0","0","0","0","0"
"45","40","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.489","0.486","0.486","0.3","0","0.803","0.096","101","0","0","0","0","0","0","0"
"46","36","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.501","0.499","0.499","0.3","0","0.8","0.096","101","0","0","0","0","0","0","0"
"47","37","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.501","0.496","0.391","0.3","0","0.806","0.102","101","0","0","0","0","0","0","0"
"48","38","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.492","0.481","0.362","0.3","0","0.797","0.087","101","0","0","0","0","0","0","0"
"50","40","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.499","0.496","0.497","0.3","0","0.804","0.09","101","0","0","0","0","0","0","0"
"49","39","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.52","0.519","0.504","0.3","0","0.79","0.098","101","0","0","0","0","0","0","0"
"51","36","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.478","0.475","0.476","0.35","0","0.81","0.096","101","0","0","0","0","0","0","0"
"54","39","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.484","0.482","0.482","0.35","0","0.798","0.092","101","0","0","0","0","0","0","0"
"53","38","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.486","0.483","0.483","0.35","0","0.812","0.096","101","0","0","0","0","0","0","0"
"52","37","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.484","0.482","0.482","0.35","0","0.792","0.1","101","0","0","0","0","0","0","0"
"61","36","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","21","22","0","0.008","0","0.4","0","0.81","0.096","101","0","0","0","0","0","0","0"
"55","40","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.478","0.476","0.476","0.35","0","0.803","0.096","101","0","0","0","0","0","0","0"
"62","37","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","20","21","0","0.01","0","0.4","0","0.792","0.1","101","0","0","0","0","0","0","0"
"63","38","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","20","21","0","0.01","0","0.4","0","0.812","0.096","101","0","0","0","0","0","0","0"
"64","39","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","20","21","0","0.004","0","0.4","0","0.798","0.092","101","0","0","0","0","0","0","0"
"65","40","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","23","24","0","0.004","0","0.4","0","0.803","0.096","101","0","0","0","0","0","0","0"
"66","36","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","22","23","0","0.013","0","0.4","0","0.8","0.096","101","0","0","0","0","0","0","0"
"56","36","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.498","0.496","0.496","0.35","0","0.8","0.096","101","0","0","0","0","0","0","0"
"68","38","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","22","23","0","0.014","0","0.4","0","0.797","0.087","101","0","0","0","0","0","0","0"
"67","37","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","33","34","0","0.022","0","0.4","0","0.806","0.102","101","0","0","0","0","0","0","0"
"69","39","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","25","26","0","0.039","0","0.4","0","0.79","0.098","101","0","0","0","0","0","0","0"
"70","40","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","19","20","0","0.121","0","0.4","0","0.804","0.09","101","0","0","0","0","0","0","0"
"60","40","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.496","0.493","0.494","0.35","0","0.804","0.09","101","0","0","0","0","0","0","0"
"57","37","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.498","0.493","0.393","0.35","0","0.806","0.102","101","0","0","0","0","0","0","0"
"59","39","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.514","0.513","0.502","0.35","0","0.79","0.098","101","0","0","0","0","0","0","0"
"58","38","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.482","0.472","0.357","0.35","0","0.797","0.087","101","0","0","0","0","0","0","0"
"71","36","101","true","false","normal","0.1","0.05","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.479","0.475","0.471","0.108","0.052","0.804","0.092","101","0","0","0","0","0","0","0"
"72","37","101","true","false","normal","0.1","0.05","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.582","0.568","0.565","0.107","0.052","0.781","0.094","101","0","0","0","0","0","0","0"
"73","38","101","true","false","normal","0.1","0.05","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.304","0.3","0.303","0.109","0.045","0.812","0.095","101","0","0","0","0","0","0","0"
"74","39","101","true","false","normal","0.1","0.05","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.656","0.641","0.628","0.1","0.051","0.798","0.092","101","0","0","0","0","0","0","0"
"76","36","101","false","false","normal","0.1","0.05","normal","0.8","0.1","true","individual","normal","0","0","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.318","0.306","0.298","0.101","0.044","0.799","0.098","101","0","0","0","0","0","0","0"
