"search-number","evaluation","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","num-replicates","best-fitness-so-far"
"1","5","0.71","""uniform""","21","0.32","0.733","""uniform""","0.14","""uniform""","""vaguely-speak""","0.77","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.886"
"1","10","0.54","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.923"
"1","15","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.972"
"1","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","1.031"
"2","5","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.178"
"2","15","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.965"
"2","30","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.98"
"3","5","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.249"
"3","10","0.39","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.339"
"3","15","0.59","""uniform""","37","0.08","0.428","""uniform""","0.2","""uniform""","""openly-listen""","0.18","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.353"
"3","20","0.32","""uniform""","35","0.01","0.048","""uniform""","0.26","""uniform""","""openly-listen""","0.98","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.404"
"3","35","0.59","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","5","0.421"
